sentence,role,idx_target,raw_target,idx_head,raw_head
"Мне показалось, что госпожа Андерсон выглядит намного старше.",agent,20-27,госпожа,37-45,выглядит
"Но всё же, черты Анастасии не могли измениться до такой степени.",agent,11-16,черты,30-35,могли
"Нос, рот, глаза — ни в чём я не могла обнаружить сходства. »",causator,0-3,Нос,32-37,могла
"Нос, рот, глаза — ни в чём я не могла обнаружить сходства. »",causator,10-15,глаза,32-37,могла
"Нос, рот, глаза — ни в чём я не могла обнаружить сходства. »",experiencer,27-28,я,32-37,могла
"Нос, рот, глаза — ни в чём я не могла обнаружить сходства. »",causator,49-57,сходства,38-48,обнаружить
"Великая княгиня вспоминала, что разговаривать с больной было трудно.",agent,8-15,княгиня,16-26,вспоминала
"Она отмалчивалась в ответ на определённые вопросы, и раздражалась, если на ответе продолжали настаивать.",agent,0-3,Она,4-17,отмалчивалась
"Ей показали несколько фотографий — в частности, изображений покоев царскосельского дворца и детской столовой, где великие княжны завтракали каждое утро.",patient,22-32,фотографий,3-11,показали
"Великая княгиня привезла также иконку Св. Николая, покровителя императорской фамилии.",agent,8-15,княгиня,16-24,привезла
Иконка была показана Анне Андерсон — и вновь это не дало видимого результата.,patient,0-6,Иконка,12-20,показана
Иконка была показана Анне Андерсон — и вновь это не дало видимого результата.,addressee,21-25,Анне,12-20,показана
"« Я относилась к этому ребенку как к собственной дочери, — вспоминала великая княгиня.",experiencer,2-3,Я,4-14,относилась
"Я уезжала из Дании с надеждой, когда я покидала Берлин, от этой надежды не осталось и следа. »",agent,0-1,Я,2-9,уезжала
"Я уезжала из Дании с надеждой, когда я покидала Берлин, от этой надежды не осталось и следа. »",place,13-18,Дании,2-9,уезжала
"Я уезжала из Дании с надеждой, когда я покидала Берлин, от этой надежды не осталось и следа. »",agent,0-1,Я,2-9,уезжала
"Я уезжала из Дании с надеждой, когда я покидала Берлин, от этой надежды не осталось и следа. »",patient,21-29,надеждой,2-9,уезжала
"Интересно также привести объяснение, которая великая княгиня Ольга Александровна дала столь убедительным для многих «великокняжеским воспоминаниям» Анны Андерсон:",patient,133-146,воспоминаниям,81-85,дала
"Так, например, на пальце у неё был шрам, и она уверяла окружающих, что поранила палец, когда лакей слишком резко захлопнул дверцу кареты.",causator,35-39,шрам,31-34,был
Я тотчас же вспомнила об этом случае.,agent,0-1,Я,12-21,вспомнила
"Пьер Жильяр всё же решил довести дело до конца и навести, насколько это было возможно, справки о прошлом Анны Андерсон.",experiencer,0-4,Пьер,19-24,решил
Сопровождавший его полковник Куликовский через своего бывшего сослуживца сумел связаться с капитаном М. Н. Швабе и его женой.,agent,19-28,полковник,73-78,сумел
"От них Жильяр узнал всю эпопею Анны Андерсон, начиная с её появления в Берлине в 1920 г., о встречах с Зинаидой Толстой и жизни в поместье барона фон Кляйста.",agent,7-13,Жильяр,14-19,узнал
"Из всего этого Жильяр сделал вывод, что с самого начала «эксперимент» был нечист — слишком многое Анна Андерсон могла узнать у русских эмигрантов.",agent,15-21,Жильяр,22-28,сделал
"Там же она часами рассматривала фотографии членов царской семьи, что позволило ей затем узнавать их на любой фотографии или картине (а это в свою очередь убеждало затем очень многих).",experiencer,7-10,она,18-31,рассматривала
"Там же она часами рассматривала фотографии членов царской семьи, что позволило ей затем узнавать их на любой фотографии или картине (а это в свою очередь убеждало затем очень многих).",benefactive,7-10,она,18-31,рассматривала
Также выяснилась история со словом Schwibs.,patient,17-24,история,6-16,выяснилась
"« В 1922 году в Берлин прибыл П. Булыгин, бывший русский офицер, ездивший в 1918 году в Сибирь по поручению великой княгини Ольги в надежде разыскать сведения об императорской фамилии; в качестве пароля великая княгиня и назвала ему это домашнее прозвище.",benefactive,116-123,княгини,23-29,прибыл
"« В 1922 году в Берлин прибыл П. Булыгин, бывший русский офицер, ездивший в 1918 году в Сибирь по поручению великой княгини Ольги в надежде разыскать сведения об императорской фамилии; в качестве пароля великая княгиня и назвала ему это домашнее прозвище.",agent,116-123,княгини,23-29,прибыл
"Булыгин, коротко знакомый со Швабе, часто рассказывал им о своем сибирском путешествии.",agent,0-7,Булыгин,42-53,рассказывал
"Познакомившись с госпожой Чайковской, они попросили своего друга назвать им какую-нибудь характерную деталь, чтобы испытать «незнакомку», и Булыгин рассказал им об этом прозвище.",agent,38-41,они,42-51,попросили
"Познакомившись с госпожой Чайковской, они попросили своего друга назвать им какую-нибудь характерную деталь, чтобы испытать «незнакомку», и Булыгин рассказал им об этом прозвище.",addressee,38-41,они,42-51,попросили
"Что же касается госпожи Чайковской, то она так и не сумела ответить на этот вопрос, и госпоже Швабе пришлось слог за слогом открыть ей прозвище… »",theme,86-93,госпоже,100-108,пришлось
"Что же касается госпожи Чайковской, то она так и не сумела ответить на этот вопрос, и госпоже Швабе пришлось слог за слогом открыть ей прозвище… »",agent,39-42,она,100-108,пришлось
"Что же касается госпожи Чайковской, то она так и не сумела ответить на этот вопрос, и госпоже Швабе пришлось слог за слогом открыть ей прозвище… »",agent,86-93,госпоже,100-108,пришлось
"Что же касается госпожи Чайковской, то она так и не сумела ответить на этот вопрос, и госпоже Швабе пришлось слог за слогом открыть ей прозвище… »",addressee,39-42,она,100-108,пришлось
"Стоит также вспомнить, что Жильяр участвовал в разоблачении Алексея Пуцято, первого из самозванцев, выдававших себя за «чудом спасшегося цесаревича» Алексея Николаевича, и с достаточной проницательностью предсказал появление и множества других самозванцев впредь.",agent,27-33,Жильяр,34-44,участвовал
На Рождество 1925 года великая княгиня Ольга Александровна прислала Анне Андерсон письмо с поздравлением и собственноручно связанную тёплую шаль.,agent,31-38,княгиня,59-67,прислала
На Рождество 1925 года великая княгиня Ольга Александровна прислала Анне Андерсон письмо с поздравлением и собственноручно связанную тёплую шаль.,addressee,68-72,Анне,59-67,прислала
« Я это сделала из жалости! — позже защищалась великая княгиня.,agent,2-3,Я,8-15,сделала
"— Вы представить себе не можете, как выглядела эта несчастная. »",experiencer,2-4,Вы,25-31,можете
"— Вы представить себе не можете, как выглядела эта несчастная. »",agent,51-61,несчастная,37-46,выглядела
"Пьер Жильяр также писал время от времени, осведомляясь о состоянии здоровья Анны, и просил его немедленно уведомить, как только больная почувствует себя достаточно хорошо, чтобы отвечать на вопросы.",agent,0-4,Пьер,18-23,писал
"Пьер Жильяр также писал время от времени, осведомляясь о состоянии здоровья Анны, и просил его немедленно уведомить, как только больная почувствует себя достаточно хорошо, чтобы отвечать на вопросы.",time,24-29,время,18-23,писал
"Он отмечал также, что почерк на присланной ему открытке очень похож на почерк 13-14 летней Анастасии и просил проверить, не доводилось ли Анне видеть что-то писаное великой княжной.",agent,0-2,Он,3-10,отмечал
"Он отмечал также, что почерк на присланной ему открытке очень похож на почерк 13-14 летней Анастасии и просил проверить, не доводилось ли Анне видеть что-то писаное великой княжной.",causator,22-28,почерк,62-67,похож
"Он отмечал также, что почерк на присланной ему открытке очень похож на почерк 13-14 летней Анастасии и просил проверить, не доводилось ли Анне видеть что-то писаное великой княжной.",addressee,0-2,Он,3-10,отмечал
Подтверждал он и правильность её воспоминаний о Собственном полку великой княжны.,agent,12-14,он,0-11,Подтверждал
Пьер Жильяр объяснял это следующим образом:,agent,0-4,Пьер,12-20,объяснял
"« С самого начала я допустил серьёзную ошибку: я исправлял все оплошности, содержащиеся в письмах, приходивших ко мне.",agent,18-19,я,20-28,допустил
"« С самого начала я допустил серьёзную ошибку: я исправлял все оплошности, содержащиеся в письмах, приходивших ко мне.",agent,18-19,я,20-28,допустил
"« С самого начала я допустил серьёзную ошибку: я исправлял все оплошности, содержащиеся в письмах, приходивших ко мне.",addressee,18-19,я,20-28,допустил
"Через несколько месяцев я стал замечать по письмам моих берлинских корреспондентов, что в городе сделались известны сомнительные откровения больной, но не те, которые получал я, а отредактированные и исправленные по моим же собственным указаниям!",time,16-23,месяцев,26-30,стал
"Через несколько месяцев я стал замечать по письмам моих берлинских корреспондентов, что в городе сделались известны сомнительные откровения больной, но не те, которые получал я, а отредактированные и исправленные по моим же собственным указаниям!",experiencer,24-25,я,26-30,стал
"Через несколько месяцев я стал замечать по письмам моих берлинских корреспондентов, что в городе сделались известны сомнительные откровения больной, но не те, которые получал я, а отредактированные и исправленные по моим же собственным указаниям!",patient,129-139,откровения,107-115,известны
"Через несколько месяцев я стал замечать по письмам моих берлинских корреспондентов, что в городе сделались известны сомнительные откровения больной, но не те, которые получал я, а отредактированные и исправленные по моим же собственным указаниям!",addressee,24-25,я,26-30,стал
"Господин Швабе прибавлял, что к этой публикации причастен, кажется, доктор Руднев.",agent,0-8,Господин,15-24,прибавлял
"Господин Швабе прибавлял, что к этой публикации причастен, кажется, доктор Руднев.",agent,68-74,доктор,48-57,причастен
"Я тотчас же написал госпоже фон Ратлеф, что если всё, что я узнал верно, я незамедлительно опубликую в прессе категорическое опровержение.",agent,0-1,Я,12-19,написал
"Я тотчас же написал госпоже фон Ратлеф, что если всё, что я узнал верно, я незамедлительно опубликую в прессе категорическое опровержение.",addressee,20-27,госпоже,12-19,написал
"Я тотчас же написал госпоже фон Ратлеф, что если всё, что я узнал верно, я незамедлительно опубликую в прессе категорическое опровержение.",agent,0-1,Я,12-19,написал
"Я тотчас же написал госпоже фон Ратлеф, что если всё, что я узнал верно, я незамедлительно опубликую в прессе категорическое опровержение.",agent,0-1,Я,12-19,написал
"Угроза возымела действие: я получил от неё ответ: она утверждала, что ни Руднев, ни сама она ничего не знали о готовящейся публикации, и умоляла не предпринимать никаких решительных действий.",agent,0-6,Угроза,7-15,возымела
"Угроза возымела действие: я получил от неё ответ: она утверждала, что ни Руднев, ни сама она ничего не знали о готовящейся публикации, и умоляла не предпринимать никаких решительных действий.",addressee,26-27,я,28-35,получил
"Угроза возымела действие: я получил от неё ответ: она утверждала, что ни Руднев, ни сама она ничего не знали о готовящейся публикации, и умоляла не предпринимать никаких решительных действий.",agent,39-42,неё,103-108,знали
"Угроза возымела действие: я получил от неё ответ: она утверждала, что ни Руднев, ни сама она ничего не знали о готовящейся публикации, и умоляла не предпринимать никаких решительных действий.",agent,73-79,Руднев,103-108,знали
"Угроза возымела действие: я получил от неё ответ: она утверждала, что ни Руднев, ни сама она ничего не знали о готовящейся публикации, и умоляла не предпринимать никаких решительных действий.",agent,39-42,неё,103-108,знали
"Угроза возымела действие: я получил от неё ответ: она утверждала, что ни Руднев, ни сама она ничего не знали о готовящейся публикации, и умоляла не предпринимать никаких решительных действий.",patient,16-24,действие,7-15,возымела
"Я понял, что удар попал в цель: и впрямь, после уже и речи не было ни о каких брошюрах… »",agent,0-1,Я,2-7,понял
"Я понял, что удар попал в цель: и впрямь, после уже и речи не было ни о каких брошюрах… »",agent,13-17,удар,18-23,попал
"После этого госпожа фон Ратлеф пишет всё реже, и окончательно письма от неё перестают приходить в июне того же года.",agent,12-19,госпожа,31-36,пишет
"Приблизительно тогда же в одном из интервью, данных в качестве Анастасии, Андерсон упомянула о тайной поездке в Россию Великого герцога Эрнста-Людвига (брата императрицы Александры Федоровны), состоявшейся в 1916 году, в разгар Первой мировой войны.",agent,74-82,Андерсон,83-92,упомянула
"Приблизительно тогда же в одном из интервью, данных в качестве Анастасии, Андерсон упомянула о тайной поездке в Россию Великого герцога Эрнста-Людвига (брата императрицы Александры Федоровны), состоявшейся в 1916 году, в разгар Первой мировой войны.",agent,128-135,герцога,83-92,упомянула
"Сторонники тождества Анастасии и Анны Андерсон полагают, что именно это признание оттолкнуло от неё семью и заставило Романовых открещиваться от родства, так как её слова, окажись они правдой, могли скомпрометировать царскую фамилию.",experiencer,0-10,Сторонники,47-55,полагают
"Сторонники тождества Анастасии и Анны Андерсон полагают, что именно это признание оттолкнуло от неё семью и заставило Романовых открещиваться от родства, так как её слова, окажись они правдой, могли скомпрометировать царскую фамилию.",agent,72-81,признание,193-198,могли
"Сторонники тождества Анастасии и Анны Андерсон полагают, что именно это признание оттолкнуло от неё семью и заставило Романовых открещиваться от родства, так как её слова, окажись они правдой, могли скомпрометировать царскую фамилию.",patient,96-99,неё,193-198,могли
"Сторонники тождества Анастасии и Анны Андерсон полагают, что именно это признание оттолкнуло от неё семью и заставило Романовых открещиваться от родства, так как её слова, окажись они правдой, могли скомпрометировать царскую фамилию.",agent,165-170,слова,172-179,окажись
"Сторонники тождества Анастасии и Анны Андерсон полагают, что именно это признание оттолкнуло от неё семью и заставило Романовых открещиваться от родства, так как её слова, окажись они правдой, могли скомпрометировать царскую фамилию.",agent,180-183,они,193-198,могли
"Противники ссылаются на вердикт Гамбургского суда, чьё определение по этому вопросу звучало совершенно недвусмысленно:",agent,0-10,Противники,11-20,ссылаются
"Противники ссылаются на вердикт Гамбургского суда, чьё определение по этому вопросу звучало совершенно недвусмысленно:",agent,55-66,определение,84-91,звучало
« Подобная поездка никогда не имела места. »,causator,11-18,поездка,30-35,имела
"Однако, постановление суда было вынесено в 1970 году, а в середине двадцатых подобные сведения могли нанести репутации Эрнста-Людвига нешуточный вред: визит офицера действующей армии во вражескую страну мог расцениваться как предательство.",patient,8-21,постановление,32-40,вынесено
"Однако, постановление суда было вынесено в 1970 году, а в середине двадцатых подобные сведения могли нанести репутации Эрнста-Людвига нешуточный вред: визит офицера действующей армии во вражескую страну мог расцениваться как предательство.",agent,86-94,сведения,95-100,могли
"Однако, постановление суда было вынесено в 1970 году, а в середине двадцатых подобные сведения могли нанести репутации Эрнста-Людвига нешуточный вред: визит офицера действующей армии во вражескую страну мог расцениваться как предательство.",patient,151-156,визит,203-206,мог
Заинтересованный в опровержении этих сведений Эрнст-Людвиг нанял частных детективов для выяснения личности Анны.,goal,88-97,выяснения,59-64,нанял
"Сам герцог не стеснялся в выражениях по поводу Анны Андерсон, прилюдно назвав её « Бесстыдной, сумасшедшей самозванкой. »",agent,4-10,герцог,14-23,стеснялся
"Сам герцог не стеснялся в выражениях по поводу Анны Андерсон, прилюдно назвав её « Бесстыдной, сумасшедшей самозванкой. »",theme,47-51,Анны,14-23,стеснялся
"По его приказу госпожа Спиндлер должна была посетить Бухарест, чтобы постараться разыскать там следы семьи Чайковских, а Мартин Кнопф занялся выяснением подлинного имени Анны Андерсон.",agent,15-22,госпожа,32-38,должна
Первые сведения пришли из Бухареста.,patient,7-15,сведения,16-22,пришли
"По сообщениям госпожи Спиндлер, ни в одной церкви города и пригорода не был зарегистрирован брак человека с фамилией Чайковский, ни в одной церковной книге не было записи о крещении младенца с такой фамилией, да и сам младенец не нашёлся ни в одном из приютов.",posessor,92-96,брак,76-91,зарегистрирован
"По сообщениям госпожи Спиндлер, ни в одной церкви города и пригорода не был зарегистрирован брак человека с фамилией Чайковский, ни в одной церковной книге не было записи о крещении младенца с такой фамилией, да и сам младенец не нашёлся ни в одном из приютов.",patient,182-190,младенца,230-237,нашёлся
"По сообщениям госпожи Спиндлер, ни в одной церкви города и пригорода не был зарегистрирован брак человека с фамилией Чайковский, ни в одной церковной книге не было записи о крещении младенца с такой фамилией, да и сам младенец не нашёлся ни в одном из приютов.",patient,182-190,младенца,230-237,нашёлся
"В полицейских отчётах (по приказу самой румынской королевы Марии, полиция города оказывала госпоже Спиндлер посильную помощь) не было зафиксировано гибели в уличной драке человека по фамилии Чайковский.",agent,66-73,полиция,81-90,оказывала
"В полицейских отчётах (по приказу самой румынской королевы Марии, полиция города оказывала госпоже Спиндлер посильную помощь) не было зафиксировано гибели в уличной драке человека по фамилии Чайковский.",benefactive,91-98,госпоже,81-90,оказывала
"В полицейских отчётах (по приказу самой румынской королевы Марии, полиция города оказывала госпоже Спиндлер посильную помощь) не было зафиксировано гибели в уличной драке человека по фамилии Чайковский.",theme,148-154,гибели,134-147,зафиксировано
"Более того, ни в Бухаресте, ни в его окрестностях не проживал ни один Чайковский вообще.",agent,70-80,Чайковский,53-61,проживал
"Впрочем, как скрупулёзный и честный исследователь, госпожа Спиндлер передала и другую информацию.",causator,36-49,исследователь,68-76,передала
"Впрочем, как скрупулёзный и честный исследователь, госпожа Спиндлер передала и другую информацию.",agent,51-58,госпожа,68-76,передала
"По объявлению, которое она дала в румынской газете, предварительно взяв с неё слово не открывать его имени, к ней обратился некий румын, якобы живший в Сибири во времена русской революции.",agent,130-135,румын,114-123,обратился
"По его словам, однажды в Бухаресте к нему подошёл некий важный чекист, чьего имени он никогда не знал или не захотел открыть.",place,37-41,нему,97-101,знал
"По его словам, однажды в Бухаресте к нему подошёл некий важный чекист, чьего имени он никогда не знал или не захотел открыть.",agent,63-69,чекист,42-49,подошёл
"По его словам, однажды в Бухаресте к нему подошёл некий важный чекист, чьего имени он никогда не знал или не захотел открыть.",agent,37-41,нему,97-101,знал
В своем рассказе информатор упорно именовал чекиста «паном».,agent,17-27,информатор,35-43,именовал
"Этот «пан» попросил у него помощи в определении в хороший госпиталь некоего неназванного лица, причем добавил, что с деньгами задержки не будет.",agent,6-9,пан,11-19,попросил
"Румын пообещал свое содействие, предупредив, впрочем, что госпиталь потребует документы.",agent,0-5,Румын,6-14,пообещал
"Румын пообещал свое содействие, предупредив, впрочем, что госпиталь потребует документы.",agent,58-67,госпиталь,68-77,потребует
На следующее свидание «пан» не пришёл.,agent,23-26,пан,31-37,пришёл
"В полиции запротоколировали этот рассказ, он был среди прочего включён в отчёт госпожи Спиндлер своему нанимателю, но ни малейших доказательств, что этот рассказ не мистификация, и что речь идёт именно об Анне Андерсон, так никогда и не было представлено.",addressee,103-113,нанимателю,63-70,включён
"В полиции запротоколировали этот рассказ, он был среди прочего включён в отчёт госпожи Спиндлер своему нанимателю, но ни малейших доказательств, что этот рассказ не мистификация, и что речь идёт именно об Анне Андерсон, так никогда и не было представлено.",causator,33-40,рассказ,10-27,запротоколировали
"Мартин Кнопф, в свою очередь, доложил, что Анна Андерсон на самом деле была фабричной работницей, полькой по происхождению по имени Франциска Шанцковска.",agent,0-6,Мартин,30-37,доложил
"Мартин Кнопф, в свою очередь, доложил, что Анна Андерсон на самом деле была фабричной работницей, полькой по происхождению по имени Франциска Шанцковска.",agent,43-47,Анна,86-96,работницей
"Во время войны Шанцковска работала на заводе, где изготовлялись взрывчатые вещества, и шрамы на теле, которые она выдавала за следы от штыков, полученные во время расправы над царской фамилией, объяснялись ранениями, полученными при взрыве.",time,9-14,войны,26-34,работала
"Она же добавила, что в 1922 году Франциска провела у неё ещё несколько дней, обронив среди прочего, что жила в семьях русских монархистов, которые «принимали её за кого-то ещё».",agent,0-3,Она,7-15,добавила
"Она же добавила, что в 1922 году Франциска провела у неё ещё несколько дней, обронив среди прочего, что жила в семьях русских монархистов, которые «принимали её за кого-то ещё».",posessor,0-3,Она,7-15,добавила
"Там же она обменяла одежду, получив в обмен на свою новый комплект из блузки, юбки и белья.",agent,7-10,она,11-19,обменяла
"Оставленную одежду показали барону и баронессе фон Кляйст, которые единодушно опознали её как собственный подарок «Анастасии Николаевне».",addressee,28-34,барону,19-27,показали
"Сторонники Анны Андерсон, в свою очередь, сочли эту версию неубедительной, поскольку для девушки из крестьянской семьи Андерсон демонстрировала слишком хорошую образованность и манеры.",agent,0-10,Сторонники,42-47,сочли
"Сторонники Анны Андерсон, в свою очередь, сочли эту версию неубедительной, поскольку для девушки из крестьянской семьи Андерсон демонстрировала слишком хорошую образованность и манеры.",posessor,16-24,Андерсон,128-143,демонстрировала
"Сторонники Анны Андерсон, в свою очередь, сочли эту версию неубедительной, поскольку для девушки из крестьянской семьи Андерсон демонстрировала слишком хорошую образованность и манеры.",agent,16-24,Андерсон,128-143,демонстрировала
"В 1927 году герцог Лёйхтенбергский Дмитрий, внук великой княжны Марии Николаевны, пригласил Анну Андерсон в свой фамильный замок Зеон в Баварии.",agent,12-18,герцог,82-91,пригласил
Позже он следующим образом изложил свое мнение о ней:,agent,6-8,он,27-34,изложил
"1. Когда госпожа Чайковская прибыла в Зеон, оказалось, что она не говорит и не понимает по-русски, не говорит и не понимает по-английски, (за исключением того словарного запаса, который извлекла из уроков данных ей в Лугано и Оберсдорфе перед своей поездкой в Зеон; а также не говорит и не понимает по-французски.",agent,9-16,госпожа,28-35,прибыла
"1. Когда госпожа Чайковская прибыла в Зеон, оказалось, что она не говорит и не понимает по-русски, не говорит и не понимает по-английски, (за исключением того словарного запаса, который извлекла из уроков данных ей в Лугано и Оберсдорфе перед своей поездкой в Зеон; а также не говорит и не понимает по-французски.",agent,59-62,она,66-73,говорит
"1. Когда госпожа Чайковская прибыла в Зеон, оказалось, что она не говорит и не понимает по-русски, не говорит и не понимает по-английски, (за исключением того словарного запаса, который извлекла из уроков данных ей в Лугано и Оберсдорфе перед своей поездкой в Зеон; а также не говорит и не понимает по-французски.",benefactive,59-62,она,66-73,говорит
Она говорила только по-немецки с северонемецким акцентом.,agent,0-3,Она,4-12,говорила
"Что касается великой княжны Анастасии, она всегда изъяснялась по-русски с отцом, по-английски - с матерью, понимала и говорила по-французски и совершенно не знала немецкого.",agent,39-42,она,50-61,изъяснялась
"2. Когда я отвёл госпожу Андерсон в русскую православную церковь, она вела себя там как римская католичка и совершенно не знала православных обрядов, в то время как великая княжна Анастасия была воспитана в православии, вслед за всей семьёй, отличалась крайней набожностью и аккуратно посещала церковь.",agent,66-69,она,70-74,вела
"2. Когда я отвёл госпожу Андерсон в русскую православную церковь, она вела себя там как римская католичка и совершенно не знала православных обрядов, в то время как великая княжна Анастасия была воспитана в православии, вслед за всей семьёй, отличалась крайней набожностью и аккуратно посещала церковь.",patient,96-105,католичка,195-204,воспитана
"2. Когда я отвёл госпожу Андерсон в русскую православную церковь, она вела себя там как римская католичка и совершенно не знала православных обрядов, в то время как великая княжна Анастасия была воспитана в православии, вслед за всей семьёй, отличалась крайней набожностью и аккуратно посещала церковь.",patient,173-179,княжна,70-74,вела
"3. Я присутствовал во время встречи, устроенной для госпожи Чайковской с Феликсом Шанцковским так, чтобы это стало для неё полной неожиданностью.",agent,3-4,Я,5-18,присутствовал
В моём присутствии он опознал в ней свою сестру Франциску Шанцковскую и согласился подписать соответствующее заявление.,agent,19-21,он,22-29,опознал
"Позже, коротко переговорив с сестрой с глазу на глаз, он отказался подписывать подобный документ, по причинам вполне понятного характера: он сам был бедным прокоммунистически настроенным шахтёром, его мать, больная раком, не имела средств к существованию, его сестра же сумела обосноваться в замке и вести жизнь, подобающую великой княжне — к чему было портить её «карьеру»?",agent,54-56,он,57-66,отказался
"Позже, коротко переговорив с сестрой с глазу на глаз, он отказался подписывать подобный документ, по причинам вполне понятного характера: он сам был бедным прокоммунистически настроенным шахтёром, его мать, больная раком, не имела средств к существованию, его сестра же сумела обосноваться в замке и вести жизнь, подобающую великой княжне — к чему было портить её «карьеру»?",agent,54-56,он,57-66,отказался
"Позже, коротко переговорив с сестрой с глазу на глаз, он отказался подписывать подобный документ, по причинам вполне понятного характера: он сам был бедным прокоммунистически настроенным шахтёром, его мать, больная раком, не имела средств к существованию, его сестра же сумела обосноваться в замке и вести жизнь, подобающую великой княжне — к чему было портить её «карьеру»?",agent,201-205,мать,225-230,имела
